time,house,tenant,duration,mean,ci_low,ci_high
20.0,55940 Herrera Lane Apt. 849,Jeffrey,7.0,7.0,7.0,7.0
40.0,33890 Jennifer Squares,Joshua,15.0,15.8,11.9,20.119999999999983
40.0,55940 Herrera Lane Apt. 849,Angel,16.0,15.8,11.9,20.119999999999983
30.0,310 Kendra Common Apt. 164,Jill,10.0,10.0,10.0,10.0
40.0,79402 Peterson Drives Apt. 511,Jeffrey,9.0,15.8,11.9,20.119999999999983
40.0,33890 Jennifer Squares,Erica,6.0,15.8,11.9,20.119999999999983
60.0,310 Kendra Common Apt. 164,Joshua,22.0,15.0,13.2,16.2
60.0,43321 Brittany Bypass,Jill,21.0,15.0,13.2,16.2
60.0,55940 Herrera Lane Apt. 849,Jeffrey,15.0,15.0,13.2,16.2
60.0,33890 Jennifer Squares,Patricia,15.0,15.0,13.2,16.2
60.0,79402 Peterson Drives Apt. 511,Christopher,12.0,15.0,13.2,16.2
70.0,79402 Peterson Drives Apt. 511,Erica,14.0,12.2,10.866666666666665,13.833333333333332
70.0,55940 Herrera Lane Apt. 849,Angel,7.0,12.2,10.866666666666665,13.833333333333332
80.0,310 Kendra Common Apt. 164,Christopher,20.0,15.26666666666667,10.933333333333334,19.6
80.0,33890 Jennifer Squares,Jeffrey,22.0,15.26666666666667,10.933333333333334,19.6
80.0,43321 Brittany Bypass,Patricia,20.0,15.26666666666667,10.933333333333334,19.6
90.0,55940 Herrera Lane Apt. 849,Angel,23.0,15.366666666666669,12.315833333333334,19.287499999999998
100.0,79402 Peterson Drives Apt. 511,Joshua,23.0,16.95,14.42125,19.42625
100.0,310 Kendra Common Apt. 164,Jill,20.0,16.95,14.42125,19.42625
110.0,33890 Jennifer Squares,Christopher,23.0,15.466666666666665,12.333333333333334,18.27
110.0,43321 Brittany Bypass,Patricia,18.0,15.466666666666665,12.333333333333334,18.27
110.0,55940 Herrera Lane Apt. 849,Jeffrey,19.0,15.466666666666665,12.333333333333334,18.27
120.0,79402 Peterson Drives Apt. 511,Angel,18.0,13.516666666666666,10.3,17.15
130.0,43321 Brittany Bypass,Joshua,20.0,13.663333333333332,12.129583333333333,15.816666666666666
120.0,310 Kendra Common Apt. 164,Patricia,9.0,13.516666666666666,10.3,17.15
120.0,33890 Jennifer Squares,James,6.0,13.516666666666666,10.3,17.15
120.0,55940 Herrera Lane Apt. 849,Christopher,6.0,13.516666666666666,10.3,17.15
140.0,33890 Jennifer Squares,James,23.0,13.5,11.6,15.552499999999997
130.0,310 Kendra Common Apt. 164,Jill,11.0,13.663333333333332,12.129583333333333,15.816666666666666
130.0,79402 Peterson Drives Apt. 511,Christopher,9.0,13.663333333333332,12.129583333333333,15.816666666666666
140.0,55940 Herrera Lane Apt. 849,Jeffrey,20.0,13.5,11.6,15.552499999999997
140.0,43321 Brittany Bypass,Patricia,10.0,13.5,11.6,15.552499999999997
140.0,310 Kendra Common Apt. 164,Amy,13.0,13.5,11.6,15.552499999999997
150.0,79402 Peterson Drives Apt. 511,Joshua,13.0,14.15,10.95,17.0525
160.0,43321 Brittany Bypass,James,16.0,14.4,11.333333333333332,17.266666666666666
150.0,33890 Jennifer Squares,Jeffrey,10.0,14.15,10.95,17.0525
150.0,55940 Herrera Lane Apt. 849,Christopher,6.0,14.15,10.95,17.0525
150.0,310 Kendra Common Apt. 164,Patricia,6.0,14.15,10.95,17.0525
170.0,79402 Peterson Drives Apt. 511,Amy,18.0,15.65,14.816666666666666,16.584166666666665
170.0,310 Kendra Common Apt. 164,Jill,16.0,15.65,14.816666666666666,16.584166666666665
180.0,55940 Herrera Lane Apt. 849,Christopher,24.0,16.12333333333333,13.679999999999998,18.55875
160.0,33890 Jennifer Squares,Jeffrey,6.0,14.4,11.333333333333332,17.266666666666666
180.0,43321 Brittany Bypass,James,23.0,16.12333333333333,13.679999999999998,18.55875
170.0,33890 Jennifer Squares,Jeffrey,9.0,15.65,14.816666666666666,16.584166666666665
180.0,79402 Peterson Drives Apt. 511,Linda,9.0,16.12333333333333,13.679999999999998,18.55875
180.0,310 Kendra Common Apt. 164,Patricia,13.0,16.12333333333333,13.679999999999998,18.55875
